Ni,Si,Y,La,Ce,Pr,Sm,Milling Time,Abs. Pressure,Abs. Temperature,Hydrogen Abs. Weight (%)
10,0,0,7,3,0,0,15,30,300,4.72
10,0,0,7,3,0,0,15,30,320,4.73
10,0,0,7,3,0,0,15,30,340,4.74
10,0,0,7,3,0,0,15,30,360,4.73
10,0,0,7,3,0,0,20,30,280,4.6
10,0,0,7,3,0,0,20,30,300,4.65
10,0,0,7,3,0,0,20,30,320,4.66
10,0,0,7,3,0,0,20,30,340,4.72
10,0,0,7,3,0,0,20,30,360,4.7
10,0,0,7,3,0,0,30,30,280,4.62
10,0,0,7,3,0,0,30,30,300,4.63
10,0,0,7,3,0,0,30,30,320,4.67
10,0,0,7,3,0,0,30,30,340,4.72
10,0,0,7,3,0,0,30,30,360,4.7
10,0,0,7,0,0,3,0,30,280,4.7
10,0,0,7,0,0,3,0,30,300,4.77
10,0,0,7,0,0,3,0,30,320,4.74
10,0,0,7,0,0,3,0,30,340,4.8
10,0,0,7,0,0,3,0,30,360,4.72
10,0,0,7,0,0,3,20,30,280,4.45
10,0,0,7,0,0,3,20,30,300,4.46
10,0,0,7,0,0,3,20,30,320,4.49
10,0,0,7,0,0,3,20,30,340,4.55
10,0,0,7,0,0,3,20,30,360,4.5
2,0,0,0,0,3,0,0,35,280,4.614
2,0,0,0,0,3,0,0,35,300,4.8
2,0,0,0,0,3,0,0,35,320,5.002
2,0,0,0,0,3,0,0,35,340,5.005
2,0,0,0,0,3,0,0,35,360,5.22
2,0,0,0,0,3,0,5,35,280,4.8
2,0,0,0,0,3,0,5,35,300,5
2,0,0,0,0,3,0,5,35,320,5.224
2,0,0,0,0,3,0,5,35,340,5.5
2,0,0,0,0,3,0,5,35,360,5.51
2,0,0,0,0,3,0,10,35,280,5.1
2,0,0,0,0,3,0,10,35,300,5.2
2,0,0,0,0,3,0,10,35,320,5.4
2,0,0,0,0,3,0,10,35,340,5.529
2,0,0,0,0,3,0,10,35,360,5.5
2,0,0,0,0,3,0,15,35,280,4.627
2,0,0,0,0,3,0,15,35,300,4.8
2,0,0,0,0,3,0,15,35,320,4.83
2,0,0,0,0,3,0,15,35,340,4.9
2,0,0,0,0,3,0,15,35,360,5
2,0,0,0,0,3,0,20,35,280,5.2
2,0,0,0,0,3,0,20,35,300,5.22
2,0,0,0,0,3,0,20,35,320,5.3
2,0,0,0,0,3,0,20,35,340,5.411
2,0,0,0,0,3,0,20,35,360,5.5
10,0,0,0,5,0,0,0,30,280,5.3
10,0,0,0,5,0,0,0,30,340,5.51
10,0,0,0,5,0,0,0,30,300,5.3
10,0,0,0,5,0,0,0,30,360,5.5
10,0,0,0,5,0,0,5,30,280,5.1
10,0,0,0,5,0,0,5,30,340,5.4
10,0,0,0,5,0,0,5,30,300,5.24
10,0,0,0,5,0,0,5,30,360,5.43
10,0,0,0,5,0,0,10,30,280,5.2
10,0,0,0,5,0,0,10,30,340,5.32
10,0,0,0,5,0,0,10,30,300,5.2
10,0,0,0,5,0,0,10,30,360,5.439
10,0,0,0,5,0,0,20,30,280,4.52
10,0,0,0,5,0,0,20,30,340,4.8
10,0,0,0,5,0,0,20,30,300,4.508
10,0,0,0,5,0,0,20,30,360,4.8
10,0,0,0,5,0,0,30,30,280,5
10,0,0,0,5,0,0,30,30,340,5.1
10,0,0,0,5,0,0,30,30,300,5
10,0,0,0,5,0,0,30,30,360,5.2
7,0,1.5,0,1.5,0,0,10,30,360,5.4
7,0,1.5,0,1.5,0,0,10,30,300,5.5
7,0,1.5,0,1.5,0,0,10,30,200,5.55
7,0,1.5,0,1.5,0,0,10,30,150,5.249
7,0,1.5,0,1.5,0,0,10,30,100,4.32
1,0,3,0,0,0,0,0,30,360,5.1
1,0,3,0,0,0,0,0,30,340,5
1,0,3,0,0,0,0,0,30,320,4.8
1,0,3,0,0,0,0,0,30,300,4.802
1,0,3,0,0,0,0,0,30,250,4.7
1,0,0,0,3,0,0,0,30,360,5.1
1,0,0,0,3,0,0,0,30,340,4.744
1,0,0,0,3,0,0,0,30,320,4.61
1,0,0,0,3,0,0,0,30,300,4.522
1,0,0,0,3,0,0,0,30,250,4.35
5,0,5,0,0,0,0,10,30,280,4.722
5,0,5,0,0,0,0,10,30,300,4.6
5,0,5,0,0,0,0,10,30,320,4.613
5,0,5,0,0,0,0,10,30,340,4.722
5,0,5,0,0,0,0,10,30,360,4.38
